,y,day_of_week,week_of_year,month_of_year,quarter_of_year,year,t,is_weekend,month_sin,month_cos,quarter_sin,quarter_cos,week_sin,week_cos,is_holiday,before_holiday_1,before_holiday_2,after_holiday_1,after_holiday_2,lag_7,lag_14,lag_28,roll_max_3,roll_mean_7,roll_max_7,roll_mean_28,roll_std_7,interaction_trend_vol,trend_weekday_only
2024-09-27,57.0,4,39,9,3,2024,38,0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,0,0,0,0,21.0,18.0,35.0,48.0,24.857142857142858,48.0,24.535714285714285,19.8614246839493,493.69827071531114,24.857142857142858
2024-09-28,0.0,5,39,9,3,2024,39,1,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,0,0,0,0,0.0,54.0,11.0,57.0,30.0,57.0,25.321428571428573,23.094010767585033,692.820323027551,0.0
2024-09-29,0.0,6,39,9,3,2024,40,1,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1.0,0.0,0.0,57.0,30.0,57.0,24.928571428571427,23.09401076758503,692.8203230275509,0.0
2024-09-30,14.0,0,40,9,3,2024,41,0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,-0.992708874098054,0.1205366802553232,0,0,1,0,0,47.0,28.0,2.0,57.0,29.857142857142858,57.0,24.928571428571427,23.305425487273496,695.833418120023,29.857142857142858
2024-10-01,62.0,1,40,10,4,2024,42,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.992708874098054,0.1205366802553232,0,1,0,0,0,21.0,28.0,18.0,14.0,25.142857142857142,57.0,25.357142857142858,22.586342270116624,567.8851770772179,25.142857142857142
2024-10-02,64.0,2,40,10,4,2024,43,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.992708874098054,0.1205366802553232,1,0,0,0,0,48.0,38.0,31.0,62.0,31.0,62.0,26.928571428571427,26.337552404630664,816.4641245435506,31.0
2024-10-03,56.0,3,40,10,4,2024,44,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.992708874098054,0.1205366802553232,0,0,0,1,0,36.0,45.0,13.0,64.0,33.285714285714285,64.0,28.107142857142858,28.651435599368522,953.6834992361237,33.285714285714285
2024-10-04,43.0,4,40,10,4,2024,45,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.992708874098054,0.1205366802553232,0,0,0,0,1,57.0,21.0,23.0,64.0,36.142857142857146,64.0,29.642857142857142,29.935645260171977,1081.9597501176445,36.142857142857146
2024-10-05,0.0,5,40,10,4,2024,46,1,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.992708874098054,0.1205366802553232,0,0,0,0,0,0.0,0.0,0.0,64.0,34.142857142857146,64.0,30.357142857142858,28.754295745323404,981.753811876042,0.0
2024-10-06,0.0,6,40,10,4,2024,47,1,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.992708874098054,0.1205366802553232,0,0,0,0,0,0.0,1.0,0.0,56.0,34.142857142857146,64.0,30.357142857142858,28.754295745323404,981.753811876042,0.0
2024-10-07,35.0,0,41,10,4,2024,48,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9709418174260521,0.23931566428755738,0,0,0,0,0,14.0,47.0,51.0,43.0,34.142857142857146,64.0,30.357142857142858,28.754295745323404,981.753811876042,34.142857142857146
2024-10-08,84.0,1,41,10,4,2024,49,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9709418174260521,0.23931566428755738,0,0,0,0,0,62.0,21.0,43.0,35.0,37.142857142857146,64.0,29.785714285714285,27.36438422127426,1016.3914139330441,37.142857142857146
2024-10-09,4.0,2,41,10,4,2024,50,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9709418174260521,0.23931566428755738,0,0,0,0,0,64.0,48.0,49.0,84.0,40.285714285714285,84.0,31.25,31.626540993888266,1274.097794325213,40.285714285714285
2024-10-10,43.0,3,41,10,4,2024,51,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9709418174260521,0.23931566428755738,0,0,0,0,0,56.0,36.0,26.0,84.0,31.714285714285715,84.0,29.642857142857142,32.25272229189491,1022.8720498286673,31.714285714285715
2024-10-11,178.0,4,41,10,4,2024,52,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9709418174260521,0.23931566428755738,0,0,0,0,0,43.0,57.0,18.0,84.0,29.857142857142858,84.0,30.25,30.97003159738228,924.676657693271,29.857142857142858
2024-10-12,0.0,5,41,10,4,2024,53,1,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9709418174260521,0.23931566428755738,0,0,1,0,0,0.0,0.0,54.0,178.0,49.142857142857146,178.0,35.964285714285715,64.45264042025632,3167.386900652596,0.0
2024-10-13,0.0,6,41,10,4,2024,54,1,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9709418174260521,0.23931566428755738,0,1,0,0,0,0.0,0.0,0.0,178.0,49.142857142857146,178.0,34.035714285714285,64.45264042025632,3167.386900652596,0.0
2024-10-14,45.0,0,42,10,4,2024,55,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9350162426854148,0.35460488704253557,1,0,0,0,0,35.0,14.0,28.0,178.0,49.142857142857146,178.0,34.035714285714285,64.45264042025632,3167.386900652596,49.142857142857146
2024-10-15,58.0,1,42,10,4,2024,56,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9350162426854148,0.35460488704253557,0,0,0,1,0,84.0,62.0,28.0,45.0,50.57142857142857,178.0,34.642857142857146,64.19724070616832,3246.5461728547975,50.57142857142857
2024-10-16,255.0,2,42,10,4,2024,57,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9350162426854148,0.35460488704253557,0,0,0,0,1,4.0,64.0,38.0,58.0,46.857142857142854,178.0,35.714285714285715,62.67489814226153,2936.766655808826,46.857142857142854
2024-10-17,50.0,3,42,10,4,2024,58,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9350162426854148,0.35460488704253557,0,0,0,0,0,43.0,56.0,45.0,255.0,82.71428571428571,255.0,43.464285714285715,96.65697816801138,7994.912908468369,82.71428571428571
2024-10-18,63.0,4,42,10,4,2024,59,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9350162426854148,0.35460488704253557,0,0,0,0,0,178.0,43.0,21.0,255.0,83.71428571428571,255.0,43.642857142857146,96.21280975995225,8054.386645618859,83.71428571428571
2024-10-19,0.0,5,42,10,4,2024,60,1,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9350162426854148,0.35460488704253557,0,0,0,0,0,0.0,0.0,0.0,255.0,67.28571428571429,255.0,45.142857142857146,86.78654712514356,5839.494813706088,0.0
2024-10-20,0.0,6,42,10,4,2024,61,1,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.9350162426854148,0.35460488704253557,0,0,0,0,0,0.0,0.0,1.0,63.0,67.28571428571429,255.0,45.142857142857146,86.78654712514356,5839.494813706088,0.0
2024-10-21,57.0,0,43,10,4,2024,62,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.8854560256532101,0.464723172043768,0,0,0,0,0,45.0,35.0,47.0,63.0,67.28571428571429,255.0,45.107142857142854,86.78654712514356,5839.494813706088,67.28571428571429
2024-10-22,30.0,1,43,10,4,2024,63,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.8854560256532101,0.464723172043768,0,0,0,0,0,58.0,84.0,21.0,57.0,69.0,255.0,45.464285714285715,86.39058590687607,5960.950427574448,69.0
2024-10-23,210.0,2,43,10,4,2024,64,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.8854560256532101,0.464723172043768,0,0,0,0,0,255.0,4.0,48.0,57.0,65.0,255.0,45.785714285714285,87.62419757121887,5695.572842129227,65.0
2024-10-24,34.0,3,43,10,4,2024,65,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.8854560256532101,0.464723172043768,0,0,0,0,0,50.0,43.0,36.0,210.0,58.57142857142857,210.0,51.57142857142857,71.53520611758739,4189.91921545869,58.57142857142857
2024-10-25,103.0,4,43,10,4,2024,66,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.8854560256532101,0.464723172043768,0,0,0,0,0,63.0,178.0,57.0,210.0,56.285714285714285,210.0,51.5,72.10805383985499,4058.653316128981,56.285714285714285
2024-10-26,0.0,5,43,10,4,2024,67,1,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.8854560256532101,0.464723172043768,0,0,0,0,0,0.0,0.0,0.0,210.0,62.0,210.0,53.142857142857146,74.28099801878449,4605.421877164638,0.0
2024-10-27,0.0,6,43,10,4,2024,68,1,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.8854560256532101,0.464723172043768,0,0,0,0,0,0.0,0.0,0.0,103.0,62.0,210.0,53.142857142857146,74.28099801878449,4605.421877164638,0.0
2024-10-28,27.0,0,44,10,4,2024,69,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.822983865893657,0.5680647467311548,0,0,0,0,0,57.0,45.0,14.0,103.0,62.0,210.0,53.142857142857146,74.28099801878449,4605.421877164638,62.0
2024-10-29,57.0,1,44,10,4,2024,70,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.822983865893657,0.5680647467311548,0,0,0,0,0,30.0,58.0,62.0,27.0,57.714285714285715,210.0,53.607142857142854,75.47342641776703,4355.8948961111255,57.714285714285715
2024-10-30,48.0,2,44,10,4,2024,71,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.822983865893657,0.5680647467311548,0,0,1,0,0,210.0,255.0,64.0,57.0,61.57142857142857,210.0,53.42857142857143,74.50471381699536,4587.361665017857,61.57142857142857
2024-10-31,46.0,3,44,10,4,2024,72,0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,-0.822983865893657,0.5680647467311548,0,1,0,0,0,34.0,50.0,56.0,57.0,38.42857142857143,103.0,52.857142857142854,35.84623245129644,1377.5195041998204,38.42857142857143
2024-11-01,52.0,4,44,11,4,2024,73,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.822983865893657,0.5680647467311548,1,0,0,0,0,103.0,63.0,43.0,57.0,40.142857142857146,103.0,52.5,35.88606308596028,1440.569103879263,40.142857142857146
2024-11-02,0.0,5,44,11,4,2024,74,1,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.822983865893657,0.5680647467311548,0,0,0,1,0,0.0,0.0,0.0,52.0,32.857142857142854,57.0,52.82142857142857,24.30657367482139,798.6445636012742,0.0
2024-11-03,0.0,6,44,11,4,2024,75,1,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.822983865893657,0.5680647467311548,0,0,0,0,1,0.0,0.0,0.0,52.0,32.857142857142854,57.0,52.82142857142857,24.30657367482139,798.6445636012742,0.0
2024-11-04,38.0,0,45,11,4,2024,76,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.7485107481711011,0.6631226582407952,0,0,0,0,0,27.0,57.0,35.0,52.0,32.857142857142854,57.0,52.82142857142857,24.30657367482139,798.6445636012742,32.857142857142854
2024-11-05,29.0,1,45,11,4,2024,77,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.7485107481711011,0.6631226582407952,0,0,0,0,0,57.0,30.0,84.0,38.0,34.42857142857143,57.0,52.92857142857143,24.220219809470024,833.8675677260394,34.42857142857143
2024-11-06,27.0,2,45,11,4,2024,78,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.7485107481711011,0.6631226582407952,0,0,0,0,0,48.0,210.0,4.0,38.0,30.428571428571427,52.0,50.964285714285715,22.089644201579553,672.1563164194921,30.428571428571427
2024-11-07,231.0,3,45,11,4,2024,79,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.7485107481711011,0.6631226582407952,0,0,0,0,0,46.0,34.0,43.0,38.0,27.428571428571427,52.0,51.785714285714285,20.687009956791165,567.4151302434148,27.428571428571427
2024-11-08,66.0,4,45,11,4,2024,80,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.7485107481711011,0.6631226582407952,0,0,0,0,0,52.0,103.0,178.0,231.0,53.857142857142854,231.0,58.5,80.3895278657375,4329.5502864832915,53.857142857142854
2024-11-09,0.0,5,45,11,4,2024,81,1,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.7485107481711011,0.6631226582407952,0,0,1,0,0,0.0,0.0,0.0,231.0,55.857142857142854,231.0,54.5,80.50968590057673,4497.041026732214,0.0
2024-11-10,0.0,6,45,11,4,2024,82,1,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.7485107481711011,0.6631226582407952,0,1,0,0,0,0.0,0.0,0.0,231.0,55.857142857142854,231.0,54.5,80.50968590057673,4497.041026732214,0.0
2024-11-11,48.0,0,46,11,4,2024,83,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.6631226582407955,0.7485107481711007,1,0,0,0,0,38.0,27.0,45.0,66.0,55.857142857142854,231.0,54.5,80.50968590057673,4497.041026732214,55.857142857142854
2024-11-12,112.0,1,46,11,4,2024,84,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.6631226582407955,0.7485107481711007,0,0,0,1,0,29.0,57.0,58.0,48.0,57.285714285714285,231.0,54.607142857142854,80.2282458275851,4595.932368123089,57.285714285714285
2024-11-13,46.0,2,46,11,4,2024,85,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.6631226582407955,0.7485107481711007,0,0,0,0,1,27.0,48.0,255.0,112.0,69.14285714285714,231.0,56.535714285714285,81.4747989082689,5633.400381657449,69.14285714285714
2024-11-14,52.0,3,46,11,4,2024,86,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.6631226582407955,0.7485107481711007,0,0,0,0,0,231.0,46.0,50.0,112.0,71.85714285714286,231.0,49.07142857142857,80.14243272954423,5758.806237565821,71.85714285714286
2024-11-15,25.0,4,46,11,4,2024,87,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.6631226582407955,0.7485107481711007,0,0,0,0,0,66.0,52.0,63.0,112.0,46.285714285714285,112.0,49.142857142857146,38.7888054542986,1795.3675667418208,46.285714285714285
2024-11-16,0.0,5,46,11,4,2024,88,1,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.6631226582407955,0.7485107481711007,0,0,0,0,0,0.0,0.0,0.0,52.0,40.42857142857143,112.0,47.785714285714285,38.409448242401375,1552.8391217999413,0.0
2024-11-17,0.0,6,46,11,4,2024,89,1,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.6631226582407955,0.7485107481711007,0,0,0,0,0,0.0,0.0,0.0,52.0,40.42857142857143,112.0,47.785714285714285,38.409448242401375,1552.8391217999413,0.0
2024-11-18,33.0,0,47,11,4,2024,90,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.5680647467311559,0.8229838658936564,0,0,0,0,0,48.0,38.0,57.0,25.0,40.42857142857143,112.0,47.785714285714285,38.409448242401375,1552.8391217999413,40.42857142857143
2024-11-19,41.0,1,47,11,4,2024,91,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.5680647467311559,0.8229838658936564,0,0,0,0,0,112.0,29.0,30.0,33.0,38.285714285714285,112.0,46.92857142857143,38.33498961225142,1467.682459440483,38.285714285714285
2024-11-20,48.0,2,47,11,4,2024,92,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.5680647467311559,0.8229838658936564,0,0,0,0,0,46.0,27.0,210.0,41.0,28.142857142857142,52.0,47.32142857142857,21.09840887704217,593.7695069681868,28.142857142857142
2024-11-21,72.0,3,47,11,4,2024,93,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.5680647467311559,0.8229838658936564,0,0,0,0,0,52.0,231.0,34.0,48.0,28.428571428571427,52.0,41.535714285714285,21.39203233961286,608.1449193689941,28.428571428571427
2024-11-22,42.0,4,47,11,4,2024,94,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.5680647467311559,0.8229838658936564,0,0,0,0,0,25.0,66.0,103.0,72.0,31.285714285714285,72.0,42.892857142857146,25.921125783899836,810.9609352391519,31.285714285714285
2024-11-23,0.0,5,47,11,4,2024,95,1,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.5680647467311559,0.8229838658936564,0,0,0,0,0,0.0,0.0,0.0,72.0,33.714285714285715,72.0,40.714285714285715,26.03020223838885,877.5896754656812,0.0
2024-11-24,0.0,6,47,11,4,2024,96,1,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.5680647467311559,0.8229838658936564,0,0,0,0,0,0.0,0.0,0.0,72.0,33.714285714285715,72.0,40.714285714285715,26.03020223838885,877.5896754656812,0.0
2024-11-25,48.0,0,48,11,4,2024,97,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,0,0,0,0,0,33.0,48.0,27.0,42.0,33.714285714285715,72.0,40.714285714285715,26.03020223838885,877.5896754656812,33.714285714285715
2024-11-26,70.0,1,48,11,4,2024,98,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,0,0,1,0,0,41.0,112.0,57.0,48.0,35.857142857142854,72.0,41.464285714285715,26.57334862494474,952.8443578373041,35.857142857142854
2024-11-27,43.0,2,48,11,4,2024,99,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,0,1,0,0,0,48.0,46.0,48.0,70.0,40.0,72.0,41.92857142857143,29.59729717389741,1183.8918869558963,40.0
2024-11-28,24.0,3,48,11,4,2024,100,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,1,0,0,0,0,72.0,52.0,46.0,70.0,39.285714285714285,72.0,41.75,29.43192306387897,1156.2541203666738,39.285714285714285
2024-11-29,9.0,4,48,11,4,2024,101,0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,0,0,0,1,0,42.0,25.0,52.0,70.0,32.42857142857143,70.0,40.964285714285715,25.922044305038444,840.6148653205324,32.42857142857143
2024-11-30,0.0,5,48,11,4,2024,102,1,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,0,0,0,0,1,0.0,0.0,0.0,43.0,27.714285714285715,70.0,39.42857142857143,26.87448781350242,744.8072336884957,0.0
2024-12-01,0.0,6,48,12,4,2024,103,1,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.4647231720437684,0.88545602565321,0,0,0,0,0,0.0,0.0,0.0,24.0,27.714285714285715,70.0,39.42857142857143,26.87448781350242,744.8072336884957,0.0
2024-12-02,28.0,0,49,12,4,2024,104,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,0,0,0,0,48.0,33.0,38.0,9.0,27.714285714285715,70.0,39.42857142857143,26.87448781350242,744.8072336884957,27.714285714285715
2024-12-03,41.0,1,49,12,4,2024,105,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,0,0,0,0,70.0,41.0,29.0,28.0,24.857142857142858,70.0,39.07142857142857,25.379969604844916,630.8735301775737,24.857142857142858
2024-12-04,39.0,2,49,12,4,2024,106,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,0,0,0,0,43.0,48.0,27.0,41.0,20.714285714285715,43.0,39.5,18.108140763335047,375.097201526226,20.714285714285715
2024-12-05,38.0,3,49,12,4,2024,107,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,0,0,0,0,24.0,72.0,231.0,41.0,20.142857142857142,41.0,39.92857142857143,17.334249060059825,349.16130249549076,20.142857142857142
2024-12-06,53.0,4,49,12,4,2024,108,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,0,0,0,0,9.0,42.0,66.0,41.0,22.142857142857142,41.0,33.035714285714285,18.61387091596439,412.16428456778294,22.142857142857142
2024-12-07,0.0,5,49,12,4,2024,109,1,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,0,0,0,0,0.0,0.0,0.0,53.0,28.428571428571427,53.0,32.57142857142857,20.74332939249891,589.7032213010405,0.0
2024-12-08,0.0,6,49,12,4,2024,110,1,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,0,0,0,0,0,0.0,0.0,0.0,53.0,28.428571428571427,53.0,32.57142857142857,20.74332939249891,589.7032213010405,0.0
2024-12-09,64.0,0,50,12,4,2024,111,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,0,0,0,0,28.0,48.0,48.0,53.0,28.428571428571427,53.0,32.57142857142857,20.74332939249891,589.7032213010405,28.428571428571427
2024-12-10,140.0,1,50,12,4,2024,112,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,0,0,0,0,41.0,70.0,112.0,64.0,33.57142857142857,64.0,33.142857142857146,24.703961509962518,829.3472792630273,33.57142857142857
2024-12-11,17.0,2,50,12,4,2024,113,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,0,0,0,0,39.0,43.0,46.0,140.0,47.714285714285715,140.0,34.142857142857146,47.492856605719396,2266.087729472897,47.714285714285715
2024-12-12,36.0,3,50,12,4,2024,114,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,0,0,0,0,38.0,24.0,52.0,140.0,44.57142857142857,140.0,33.107142857142854,48.87350046414768,2178.3617349734395,44.57142857142857
2024-12-13,17.0,4,50,12,4,2024,115,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,0,0,0,0,53.0,9.0,25.0,140.0,44.285714285714285,140.0,32.535714285714285,48.92413952816569,2166.6404648187663,44.285714285714285
2024-12-14,0.0,5,50,12,4,2024,116,1,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,0,0,0,0,0.0,0.0,0.0,36.0,39.142857142857146,140.0,32.25,49.740756499503036,1946.9953258376904,0.0
2024-12-15,0.0,6,50,12,4,2024,117,1,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,0,0,0,0,0,0.0,0.0,0.0,36.0,39.142857142857146,140.0,32.25,49.740756499503036,1946.9953258376904,0.0
2024-12-16,26.0,0,51,12,4,2024,118,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,0,0,0,0,0,64.0,28.0,33.0,17.0,39.142857142857146,140.0,32.25,49.740756499503036,1946.9953258376904,39.142857142857146
2024-12-17,79.0,1,51,12,4,2024,119,0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,0,0,0,0,0,140.0,41.0,41.0,26.0,33.714285714285715,140.0,32.0,48.63714042346059,1639.7664485623857,33.714285714285715
