Date,Daily_Sales
2023-07-17,563.1
2023-07-18,524.17
2023-07-19,442.36
2023-07-20,471.25
2023-07-21,528.36
2023-07-22,855.52
2023-07-23,770.13
2023-07-24,424.4
2023-07-25,414.82
2023-07-26,394.43
2023-07-27,440.55
2023-07-28,455.95
2023-07-29,1032.64
2023-07-30,797.16
2023-07-31,424.6
2023-08-01,502.72
2023-08-02,382.11
2023-08-03,458.01
2023-08-04,430.48
2023-08-05,665.66
2023-08-06,1256.81
2023-08-07,311.56
2023-08-08,330.24
2023-08-09,474.7
2023-08-10,343.28
2023-08-11,338.71
2023-08-12,451.98
2023-08-13,621.38
2023-08-14,445.03
2023-08-15,422.48
2023-08-16,274.51
2023-08-17,286.98
2023-08-18,428.37
2023-08-19,501.96
2023-08-20,620.51
2023-08-21,838.21
2023-08-22,310.98
2023-08-23,397.81
2023-08-24,342.66
2023-08-25,78.32
2023-08-26,579.57
2023-08-27,586.9
2023-08-28,289.2
2023-08-29,256.27
2023-08-30,305.66
2023-08-31,289.89
2023-09-01,324.19
2023-09-02,459.96
2023-09-03,538.49
2023-09-04,268.42
2023-09-05,232.37
2023-09-06,314.19
2023-09-07,280.66
2023-09-08,219.09
2023-09-09,486.6
2023-09-10,703.84
2023-09-11,271.79
2023-09-12,178.77
2023-09-13,268.64
2023-09-14,227.28
2023-09-15,162.41
2023-09-16,538.83
2023-09-17,527.85
2023-09-18,266.72
2023-09-19,176.22
2023-09-20,31.4
2023-09-21,178.23
2023-09-22,148.13
2023-09-23,439.06
2023-09-24,617.05
2023-09-25,129.56
2023-09-26,191.61
2023-09-27,198.62
2023-09-28,218.17
2023-09-29,167.22
2023-09-30,667.57
2023-10-01,1022.6
2023-10-02,183.14
2023-10-03,279.51
2023-10-04,169.29
2023-10-05,280.42
2023-10-06,238.83
2023-10-07,588.16
2023-10-08,495.46
2023-10-09,353.21
2023-10-10,353.41
2023-10-11,200.9
2023-10-12,356.56
2023-10-13,132.14
2023-10-14,595.59
2023-10-15,582.87
2023-10-16,162.64
2023-10-17,161.48
2023-10-18,230.29
2023-10-19,246.59
2023-10-20,224.16
2023-10-21,662.63
2023-10-22,483.63
2023-10-23,239.09
2023-10-24,227.83
2023-10-25,330.05
2023-10-26,318.56
2023-10-27,341.82
2023-10-28,511.88
2023-10-29,634.51
2023-10-30,393.62
2023-10-31,365.28
2023-11-01,303.73
2023-11-02,354.23
2023-11-03,354.97
2023-11-04,642.09
2023-11-05,1244.08
2023-11-06,383.92
2023-11-07,298.08
2023-11-08,422.82
2023-11-09,329.67
2023-11-10,425.03
2023-11-11,749.95
2023-11-12,578.14
2023-11-13,353.3
2023-11-14,353.08
2023-11-15,391.92
2023-11-16,331.86
2023-11-17,428.72
2023-11-18,753.21
2023-11-19,666.64
2023-11-20,492.14
2023-11-21,434.53
2023-11-22,463.01
2023-11-23,479.69
2023-11-24,459.74
2023-11-25,817.17
2023-11-26,783.81
2023-11-27,472.81
2023-11-28,480.99
2023-11-29,404.61
2023-11-30,538.56
2023-12-01,568.13
2023-12-02,797.27
2023-12-03,786.56
2023-12-04,521.79
2023-12-05,482.91
2023-12-06,602.72
2023-12-07,525.96
2023-12-08,607.69
2023-12-09,937.69
2023-12-10,806.68
2023-12-11,593.76
2023-12-12,598.2
2023-12-13,576.33
2023-12-14,440.04
2023-12-15,582.38
2023-12-16,887.52
2023-12-17,975.93
2023-12-18,1246.1
2023-12-19,662.55
2023-12-20,619.18
2023-12-21,663.5
2023-12-22,582.67
2023-12-23,1026.37
2023-12-24,963.32
2023-12-25,573.29
2023-12-26,648.46
2023-12-27,691.46
2023-12-28,721.0
2023-12-29,670.1
2023-12-30,1070.37
2023-12-31,1153.04
2024-01-01,756.25
2024-01-02,747.71
2024-01-03,799.35
2024-01-04,765.14
2024-01-05,720.28
2024-01-06,1045.61
2024-01-07,1048.14
2024-01-08,871.81
2024-01-09,883.7
2024-01-10,939.25
2024-01-11,783.91
2024-01-12,848.55
2024-01-13,1203.27
2024-01-14,1212.05
2024-01-15,872.23
2024-01-16,792.48
2024-01-17,823.73
2024-01-18,720.88
2024-01-19,856.57
2024-01-20,1226.14
2024-01-21,1257.06
2024-01-22,999.24
2024-01-23,1062.38
2024-01-24,944.44
2024-01-25,916.13
2024-01-26,885.42
2024-01-27,1369.54
2024-01-28,1158.78
2024-01-29,1125.43
2024-01-30,1601.41
2024-01-31,1072.72
2024-02-01,904.87
2024-02-02,1120.63
2024-02-03,1432.7
2024-02-04,1360.97
2024-02-05,879.55
2024-02-06,921.49
2024-02-07,1086.49
2024-02-08,963.79
2024-02-09,1022.72
2024-02-10,1423.39
2024-02-11,1331.43
2024-02-12,1096.57
2024-02-13,1103.76
2024-02-14,1177.84
2024-02-15,1083.88
2024-02-16,1014.68
2024-02-17,1294.79
2024-02-18,1519.97
2024-02-19,1182.45
2024-02-20,1108.73
2024-02-21,1268.58
2024-02-22,1082.82
2024-02-23,1284.85
2024-02-24,1523.89
2024-02-25,1585.34
2024-02-26,1328.96
2024-02-27,1562.86
2024-02-28,1183.6
2024-02-29,1162.23
2024-03-01,1275.92
2024-03-02,1375.09
2024-03-03,1556.22
2024-03-04,1309.76
2024-03-05,1140.64
2024-03-06,1153.84
2024-03-07,1048.46
2024-03-08,1150.28
2024-03-09,1606.46
2024-03-10,1626.26
2024-03-11,1217.88
2024-03-12,1278.35
2024-03-13,1049.98
2024-03-14,1083.44
2024-03-15,1315.89
2024-03-16,1481.7
2024-03-17,1538.21
2024-03-18,1182.05
2024-03-19,1171.87
2024-03-20,1179.42
2024-03-21,1315.41
2024-03-22,1258.66
2024-03-23,1640.63
2024-03-24,1435.83
2024-03-25,1245.41
2024-03-26,1234.02
2024-03-27,1333.97
2024-03-28,1221.83
2024-03-29,1237.99
2024-03-30,1535.13
2024-03-31,1422.88
2024-04-01,1281.34
2024-04-02,1221.89
2024-04-03,1263.03
2024-04-04,1246.07
2024-04-05,1369.06
2024-04-06,1562.22
2024-04-07,1472.02
2024-04-08,1224.9
2024-04-09,1302.28
2024-04-10,1307.57
2024-04-11,1260.82
2024-04-12,1283.65
2024-04-13,1469.83
2024-04-14,1572.22
2024-04-15,1259.58
2024-04-16,1222.54
2024-04-17,1120.28
2024-04-18,1288.41
2024-04-19,1329.12
2024-04-20,1551.5
2024-04-21,1550.2
2024-04-22,1201.88
2024-04-23,1427.18
2024-04-24,1321.39
2024-04-25,1175.12
2024-04-26,1245.36
2024-04-27,1496.01
2024-04-28,1531.02
2024-04-29,1180.11
2024-04-30,1168.62
2024-05-01,1131.4
2024-05-02,1146.78
2024-05-03,1175.86
2024-05-04,1587.28
2024-05-05,1413.54
2024-05-06,1336.67
2024-05-07,1172.75
2024-05-08,1126.73
2024-05-09,1226.36
2024-05-10,1189.97
2024-05-11,1491.57
2024-05-12,1332.38
2024-05-13,1183.92
2024-05-14,1106.87
2024-05-15,1142.26
2024-05-16,1192.74
2024-05-17,1161.86
2024-05-18,1424.72
2024-05-19,1350.6
2024-05-20,1166.88
2024-05-21,1114.75
2024-05-22,1032.52
2024-05-23,1130.42
2024-05-24,1021.76
2024-05-25,1478.21
2024-05-26,1454.68
2024-05-27,1107.84
2024-05-28,1062.34
2024-05-29,1140.08
2024-05-30,1110.71
2024-05-31,1532.36
2024-06-01,1330.43
2024-06-02,1459.25
2024-06-03,1029.85
2024-06-04,935.34
2024-06-05,1076.13
2024-06-06,983.76
2024-06-07,993.84
2024-06-08,1328.53
2024-06-09,1330.26
2024-06-10,927.97
2024-06-11,950.26
2024-06-12,919.47
2024-06-13,945.83
2024-06-14,1058.63
2024-06-15,1205.3
2024-06-16,1252.69
2024-06-17,863.75
2024-06-18,860.91
2024-06-19,984.9
2024-06-20,934.14
2024-06-21,828.99
2024-06-22,1352.1
2024-06-23,1213.92
2024-06-24,1520.09
2024-06-25,780.09
2024-06-26,856.1
2024-06-27,955.85
2024-06-28,786.94
2024-06-29,1232.71
2024-06-30,1238.04
2024-07-01,841.98
2024-07-02,823.14
2024-07-03,882.42
2024-07-04,800.57
2024-07-05,911.08
2024-07-06,1173.38
2024-07-07,1213.1
2024-07-08,866.14
2024-07-09,780.72
2024-07-10,749.93
2024-07-11,751.74
2024-07-12,823.22
2024-07-13,1056.42
2024-07-14,1051.37
2024-07-15,852.4
2024-07-16,796.77
2024-07-17,621.5
2024-07-18,817.67
2024-07-19,657.22
2024-07-20,861.27
2024-07-21,880.42
2024-07-22,1024.81
2024-07-23,615.25
2024-07-24,659.21
2024-07-25,868.2
2024-07-26,667.01
2024-07-27,966.44
2024-07-28,1023.38
2024-07-29,549.82
2024-07-30,657.68
2024-07-31,621.71
2024-08-01,631.94
2024-08-02,775.39
2024-08-03,856.49
2024-08-04,847.26
2024-08-05,633.35
2024-08-06,676.96
2024-08-07,641.24
2024-08-08,580.2
2024-08-09,684.07
2024-08-10,908.72
2024-08-11,940.43
2024-08-12,588.67
2024-08-13,632.94
2024-08-14,514.98
2024-08-15,546.66
2024-08-16,1077.65
2024-08-17,949.54
2024-08-18,829.69
2024-08-19,451.08
2024-08-20,448.87
2024-08-21,510.13
2024-08-22,548.75
2024-08-23,664.9
2024-08-24,710.96
2024-08-25,890.36
2024-08-26,662.84
2024-08-27,649.52
2024-08-28,587.85
2024-08-29,995.61
2024-08-30,471.45
2024-08-31,724.26
2024-09-01,869.06
2024-09-02,550.26
2024-09-03,364.61
2024-09-04,541.42
2024-09-05,444.7
2024-09-06,602.68
2024-09-07,901.11
2024-09-08,761.63
2024-09-09,504.48
2024-09-10,608.65
2024-09-11,453.38
2024-09-12,415.71
2024-09-13,495.92
2024-09-14,913.71
2024-09-15,853.27
2024-09-16,488.51
2024-09-17,423.31
2024-09-18,393.18
2024-09-19,460.85
2024-09-20,496.43
2024-09-21,847.92
2024-09-22,598.54
2024-09-23,601.63
2024-09-24,475.87
2024-09-25,516.14
2024-09-26,437.82
2024-09-27,441.41
2024-09-28,832.72
2024-09-29,1337.07
2024-09-30,427.58
2024-10-01,394.92
2024-10-02,558.29
2024-10-03,588.37
2024-10-04,476.86
2024-10-05,621.4
2024-10-06,684.83
2024-10-07,464.07
2024-10-08,337.92
2024-10-09,430.79
2024-10-10,463.32
2024-10-11,581.11
2024-10-12,895.33
2024-10-13,772.55
2024-10-14,456.02
2024-10-15,386.3
2024-10-16,592.66
2024-10-17,466.78
2024-10-18,465.51
2024-10-19,727.63
2024-10-20,794.47
2024-10-21,460.1
2024-10-22,325.83
2024-10-23,576.97
2024-10-24,554.3
2024-10-25,459.39
2024-10-26,772.66
2024-10-27,755.54
2024-10-28,586.57
2024-10-29,689.93
2024-10-30,397.17
2024-10-31,628.87
2024-11-01,597.77
2024-11-02,662.78
2024-11-03,796.52
2024-11-04,528.37
2024-11-05,453.07
2024-11-06,500.93
2024-11-07,492.92
2024-11-08,640.36
2024-11-09,910.93
2024-11-10,876.84
2024-11-11,572.22
2024-11-12,456.08
2024-11-13,610.46
2024-11-14,513.66
2024-11-15,1096.74
2024-11-16,1013.7
2024-11-17,887.19
2024-11-18,472.28
2024-11-19,641.68
2024-11-20,646.68
2024-11-21,566.74
2024-11-22,674.61
2024-11-23,971.88
2024-11-24,1021.32
2024-11-25,647.35
2024-11-26,577.18
2024-11-27,681.93
2024-11-28,614.75
2024-11-29,765.05
2024-11-30,967.03
2024-12-01,1008.14
2024-12-02,866.69
2024-12-03,730.11
2024-12-04,657.72
2024-12-05,651.32
2024-12-06,757.62
2024-12-07,1049.0
2024-12-08,1118.61
2024-12-09,668.72
2024-12-10,867.39
2024-12-11,773.82
2024-12-12,726.04
2024-12-13,797.46
2024-12-14,1134.15
2024-12-15,1149.05
2024-12-16,863.07
2024-12-17,909.69
2024-12-18,813.9
2024-12-19,924.18
2024-12-20,776.13
2024-12-21,1214.22
2024-12-22,1125.79
2024-12-23,789.68
2024-12-24,964.33
2024-12-25,988.41
2024-12-26,806.85
2024-12-27,962.27
2024-12-28,1136.99
2024-12-29,1176.24
2024-12-30,1003.6
2024-12-31,951.02
2025-01-01,865.24
