date,units_sold,marketing_spend,avg_temp_c
2023-05-10,542,1041.86,22.8
2023-05-11,529,992.85,21.1
2023-05-12,497,962.14,21.3
2023-05-13,538,1021.34,23.9
2023-05-14,541,1026.7,23.0
2023-05-15,538,1005.46,25.4
2023-05-16,550,1050.78,25.7
2023-05-17,560,1002.45,25.6
2023-05-18,547,1018.03,25.6
2023-05-19,553,1017.18,28.5
2023-05-20,574,1043.24,23.3
2023-05-21,548,1035.77,25.5
2023-05-22,541,999.4,28.0
2023-05-23,525,1033.11,28.5
2023-05-24,553,1033.38,23.2
2023-05-25,512,959.9,25.6
2023-05-26,504,953.44,29.1
2023-05-27,505,1002.69,27.6
2023-05-28,532,1013.68,27.1
2023-05-29,572,1040.61,26.4
2023-05-30,560,1035.3,26.2
2023-05-31,540,1029.64,27.7
2023-06-01,502,1024.89,26.7
2023-06-02,476,957.82,27.3
2023-06-03,501,971.3,27.6
2023-06-04,527,988.87,26.3
2023-06-05,579,1054.62,28.8
2023-06-06,553,1062.92,33.7
2023-06-07,554,1021.62,24.4
2023-06-08,505,940.46,28.7
2023-06-09,478,944.2,26.7
2023-06-10,486,970.77,29.5
2023-06-11,509,991.46,28.5
2023-06-12,579,1037.19,30.0
2023-06-13,529,1018.36,31.0
2023-06-14,545,1019.21,29.1
2023-06-15,491,1020.83,31.1
2023-06-16,509,988.5,24.2
2023-06-17,503,980.24,32.1
2023-06-18,512,1019.17,29.8
2023-06-19,533,981.41,31.3
2023-06-20,526,1025.34,26.8
2023-06-21,531,1021.16,27.6
2023-06-22,492,991.51,29.6
2023-06-23,463,1017.51,29.4
2023-06-24,466,964.04,30.0
2023-06-25,511,1058.11,31.7
2023-06-26,555,1027.36,26.1
2023-06-27,533,987.87,31.6
2023-06-28,513,1009.55,29.7
2023-06-29,498,971.89,29.3
2023-06-30,502,982.41,26.8
2023-07-01,486,1001.53,30.8
2023-07-02,493,1009.69,25.0
2023-07-03,539,1007.85,31.2
2023-07-04,531,1043.29,26.9
2023-07-05,536,1050.54,30.0
2023-07-06,489,1029.31,29.7
2023-07-07,449,982.64,32.3
2023-07-08,450,1004.09,29.6
2023-07-09,523,966.78,28.6
2023-07-10,543,1017.85,29.0
2023-07-11,513,986.12,32.5
2023-07-12,494,999.38,31.1
2023-07-13,505,988.71,29.2
2023-07-14,444,962.25,29.5
2023-07-15,452,1018.25,26.8
2023-07-16,498,994.56,30.7
2023-07-17,498,1009.14,26.4
2023-07-18,509,999.59,31.4
2023-07-19,491,996.49,30.2
2023-07-20,478,986.95,34.6
2023-07-21,482,1000.41,27.6
2023-07-22,462,1006.33,29.6
2023-07-23,491,1035.78,33.4
2023-07-24,461,984.34,32.1
2023-07-25,501,1015.34,28.3
2023-07-26,472,954.43,30.1
2023-07-27,443,963.6,29.6
2023-07-28,434,983.91,30.1
2023-07-29,448,990.45,28.1
2023-07-30,489,998.69,29.2
2023-07-31,468,1002.96,26.1
2023-08-01,496,1009.87,29.5
2023-08-02,472,1013.21,30.1
2023-08-03,452,978.43,28.6
2023-08-04,462,968.31,25.8
2023-08-05,458,983.2,30.9
2023-08-06,491,921.34,29.6
2023-08-07,482,998.77,27.3
2023-08-08,477,894.99,28.1
2023-08-09,471,939.51,25.6
2023-08-10,457,985.49,26.4
2023-08-11,441,976.54,27.3
2023-08-12,423,924.74,30.7
2023-08-13,462,959.4,26.9
2023-08-14,484,1024.66,29.3
2023-08-15,529,1005.3,26.8
2023-08-16,503,1057.87,28.3
2023-08-17,432,959.15,27.4
2023-08-18,428,967.0,29.3
2023-08-19,410,986.42,26.4
2023-08-20,445,970.28,24.2
2023-08-21,480,962.94,24.4
2023-08-22,500,997.26,26.0
2023-08-23,451,969.71,24.4
2023-08-24,430,923.88,27.6
2023-08-25,389,927.0,25.7
2023-08-26,429,938.85,31.2
2023-08-27,432,982.31,22.9
2023-08-28,461,977.47,26.6
2023-08-29,459,968.33,23.8
2023-08-30,459,972.75,24.9
2023-08-31,406,949.18,26.0
2023-09-01,398,954.22,20.9
2023-09-02,467,955.21,25.9
2023-09-03,424,928.36,29.0
2023-09-04,447,995.82,24.2
2023-09-05,504,992.09,25.4
2023-09-06,509,969.98,26.8
2023-09-07,414,959.5,24.2
2023-09-08,414,959.98,23.2
2023-09-09,431,920.33,19.7
2023-09-10,475,990.74,25.3
2023-09-11,446,985.99,23.6
2023-09-12,463,987.16,21.6
2023-09-13,468,996.6,23.7
2023-09-14,440,928.89,22.1
2023-09-15,411,954.88,22.1
2023-09-16,420,944.43,24.1
2023-09-17,417,938.13,20.1
2023-09-18,457,995.96,24.6
2023-09-19,461,1013.58,19.6
2023-09-20,456,1018.46,20.8
2023-09-21,420,984.87,25.8
2023-09-22,425,952.26,24.0
2023-09-23,439,972.22,21.8
2023-09-24,443,984.97,19.5
2023-09-25,466,982.63,20.1
2023-09-26,466,982.87,21.1
2023-09-27,451,991.19,20.9
2023-09-28,416,948.12,20.4
2023-09-29,421,934.37,20.3
2023-09-30,419,941.04,19.8
2023-10-01,478,1002.65,17.1
2023-10-02,488,992.87,18.7
2023-10-03,471,991.11,21.4
2023-10-04,437,978.95,16.6
2023-10-05,409,936.03,18.8
2023-10-06,437,981.11,17.3
2023-10-07,425,964.47,19.0
2023-10-08,449,938.53,17.8
2023-10-09,429,993.46,21.3
2023-10-10,482,976.68,19.1
2023-10-11,460,934.62,15.3
2023-10-12,410,919.87,19.1
2023-10-13,408,919.27,16.0
2023-10-14,426,956.9,16.1
2023-10-15,442,958.35,17.7
2023-10-16,456,965.18,15.9
2023-10-17,465,994.49,18.5
2023-10-18,449,977.9,14.9
2023-10-19,434,968.3,15.0
2023-10-20,445,977.25,14.8
2023-10-21,377,941.6,14.7
2023-10-22,439,910.7,17.9
2023-10-23,467,971.09,16.7
2023-10-24,474,929.89,18.7
2023-10-25,449,970.3,19.6
2023-10-26,403,941.68,12.8
2023-10-27,427,982.34,14.8
2023-10-28,457,1003.89,12.1
2023-10-29,419,956.47,12.7
2023-10-30,482,976.69,12.8
2023-10-31,466,991.73,11.8
2023-11-01,458,961.6,11.6
2023-11-02,419,951.37,13.2
2023-11-03,419,976.05,10.9
2023-11-04,453,957.86,14.8
2023-11-05,460,996.14,11.1
2023-11-06,501,1017.54,18.4
2023-11-07,497,974.33,11.7
2023-11-08,471,1006.95,12.5
2023-11-09,473,1001.26,9.6
2023-11-10,437,964.75,15.4
2023-11-11,449,950.34,14.1
2023-11-12,449,947.92,12.3
2023-11-13,476,972.16,8.8
2023-11-14,468,994.36,11.7
2023-11-15,485,967.11,8.9
2023-11-16,425,965.94,13.9
2023-11-17,448,937.76,12.4
2023-11-18,436,956.5,10.8
2023-11-19,480,990.74,5.6
2023-11-20,493,1056.93,8.4
2023-11-21,518,976.37,11.5
2023-11-22,486,1028.4,12.4
2023-11-23,423,957.55,12.1
2023-11-24,438,973.08,6.5
2023-11-25,423,956.76,10.2
2023-11-26,456,984.72,11.4
2023-11-27,513,1003.96,6.0
2023-11-28,503,1038.15,9.1
2023-11-29,466,968.19,9.5
2023-11-30,439,991.71,8.3
2023-12-01,445,950.89,5.0
2023-12-02,429,955.89,7.9
2023-12-03,459,948.6,7.8
2023-12-04,497,1009.58,8.0
2023-12-05,518,1046.93,7.1
2023-12-06,496,995.67,7.2
2023-12-07,423,948.88,7.9
2023-12-08,457,946.33,8.8
2023-12-09,458,969.07,7.2
2023-12-10,485,951.18,6.8
2023-12-11,527,993.38,7.7
2023-12-12,467,985.87,3.6
2023-12-13,481,1021.58,8.3
2023-12-14,481,1058.83,7.3
2023-12-15,430,943.34,7.3
2023-12-16,490,1029.88,9.0
2023-12-17,491,1000.69,3.1
2023-12-18,520,1008.22,3.0
2023-12-19,501,1011.41,7.4
2023-12-20,513,1009.35,6.8
2023-12-21,497,1000.96,7.0
2023-12-22,469,971.19,5.7
2023-12-23,475,950.05,7.9
2023-12-24,496,959.01,8.4
2023-12-25,497,1014.53,7.4
2023-12-26,515,1002.08,5.9
2023-12-27,503,986.9,2.1
2023-12-28,492,995.41,7.8
2023-12-29,490,1013.87,8.7
2023-12-30,459,979.91,7.5
2023-12-31,496,981.2,4.4
2024-01-01,546,1058.26,7.5
2024-01-02,512,1046.68,7.8
2024-01-03,498,1011.16,9.2
2024-01-04,496,1021.94,4.3
2024-01-05,495,1028.05,5.6
2024-01-06,486,1019.85,7.5
2024-01-07,530,1033.35,6.1
2024-01-08,542,1040.16,3.8
2024-01-09,548,1041.79,6.8
2024-01-10,530,990.57,7.2
2024-01-11,541,1042.12,6.2
2024-01-12,483,955.9,6.4
2024-01-13,456,953.74,5.5
2024-01-14,542,1057.79,9.0
2024-01-15,525,1036.01,4.2
2024-01-16,541,1061.78,4.9
2024-01-17,550,1023.21,6.1
2024-01-18,477,957.39,7.9
2024-01-19,471,976.59,3.2
2024-01-20,471,985.15,3.6
2024-01-21,506,1005.57,2.1
2024-01-22,548,1057.14,6.3
2024-01-23,556,1024.57,4.1
2024-01-24,539,1032.2,5.6
2024-01-25,488,968.08,7.7
2024-01-26,459,986.66,5.2
2024-01-27,507,1004.28,7.0
2024-01-28,518,992.05,6.0
2024-01-29,555,1027.1,8.0
2024-01-30,565,1034.4,7.7
2024-01-31,543,1019.05,5.4
2024-02-01,533,1064.08,6.5
2024-02-02,511,1004.14,9.0
2024-02-03,522,1007.1,7.8
2024-02-04,520,959.56,4.3
2024-02-05,550,1007.64,8.5
2024-02-06,563,1031.22,5.1
2024-02-07,561,1019.45,10.2
2024-02-08,518,1045.34,9.5
2024-02-09,522,1009.08,8.1
2024-02-10,514,1040.61,8.0
2024-02-11,537,1023.74,7.4
2024-02-12,574,1045.33,9.2
2024-02-13,529,1015.18,7.3
2024-02-14,529,1017.49,8.6
2024-02-15,504,1045.37,10.0
2024-02-16,476,927.61,7.2
2024-02-17,511,956.56,7.2
2024-02-18,557,1020.62,6.2
2024-02-19,559,1035.76,6.6
2024-02-20,573,1061.05,5.2
2024-02-21,576,1057.43,10.5
2024-02-22,560,1026.39,12.8
2024-02-23,522,1038.68,12.1
2024-02-24,553,1057.55,6.2
2024-02-25,550,1034.6,11.0
2024-02-26,554,1056.47,12.6
2024-02-27,563,1044.62,9.0
2024-02-28,534,1006.36,10.2
2024-02-29,524,1031.85,6.2
2024-03-01,521,1015.37,10.9
2024-03-02,547,1028.23,8.4
2024-03-03,583,1086.62,11.1
2024-03-04,548,967.53,7.7
2024-03-05,585,1015.56,12.1
2024-03-06,546,997.92,13.2
2024-03-07,552,1022.12,9.8
2024-03-08,528,1010.43,9.2
2024-03-09,503,964.12,7.4
2024-03-10,572,1018.57,11.3
2024-03-11,565,1017.48,10.9
2024-03-12,571,1104.04,9.1
2024-03-13,548,1073.84,13.3
2024-03-14,534,1010.11,11.7
2024-03-15,541,1015.51,10.6
2024-03-16,535,992.27,11.8
2024-03-17,564,990.7,15.3
2024-03-18,584,1047.48,14.5
2024-03-19,607,1039.25,13.3
2024-03-20,563,1035.68,14.9
2024-03-21,521,972.59,11.6
2024-03-22,554,1013.35,14.2
2024-03-23,534,1024.12,14.6
2024-03-24,579,1056.56,13.6
2024-03-25,586,1062.04,15.6
2024-03-26,582,1016.19,13.3
2024-03-27,577,1067.57,16.1
2024-03-28,584,1030.39,16.4
2024-03-29,573,1059.62,9.7
2024-03-30,542,1024.93,18.1
2024-03-31,563,1003.39,9.8
2024-04-01,599,1051.5,14.9
2024-04-02,569,1050.53,18.4
2024-04-03,577,1061.52,15.9
2024-04-04,549,1025.88,13.8
2024-04-05,541,1062.89,14.7
2024-04-06,525,1040.19,19.2
2024-04-07,531,1012.18,13.5
2024-04-08,542,1043.95,19.8
2024-04-09,564,1086.74,17.6
2024-04-10,562,1086.21,15.6
2024-04-11,543,995.1,17.0
2024-04-12,570,1018.84,16.3
2024-04-13,559,1072.52,20.3
2024-04-14,541,998.14,20.2
2024-04-15,584,1017.34,15.5
2024-04-16,575,1032.85,18.4
2024-04-17,564,1048.91,17.7
2024-04-18,550,1027.44,22.2
2024-04-19,544,1010.14,17.1
2024-04-20,531,1001.74,23.2
2024-04-21,576,1027.79,20.1
2024-04-22,555,1011.01,18.1
2024-04-23,580,1105.04,19.3
2024-04-24,613,1075.24,19.2
2024-04-25,548,1050.97,18.5
2024-04-26,556,1021.37,21.4
2024-04-27,536,1016.95,19.0
2024-04-28,564,1020.56,17.2
2024-04-29,572,976.91,21.0
2024-04-30,574,1009.95,18.4
2024-05-01,549,984.13,20.7
2024-05-02,549,973.16,20.6
2024-05-03,512,977.32,20.8
2024-05-04,543,1058.92,26.8
2024-05-05,570,1040.89,23.1
2024-05-06,576,1077.86,23.6
2024-05-07,568,1051.07,19.8
2024-05-08,568,1060.36,22.2
2024-05-09,532,996.68,24.1
2024-05-10,540,1037.1,21.8
2024-05-11,494,1014.62,25.9
2024-05-12,540,1009.58,21.8
2024-05-13,529,1031.39,23.8
2024-05-14,542,1039.35,23.4
2024-05-15,579,1033.66,25.1
2024-05-16,549,1001.33,23.6
2024-05-17,505,973.4,24.5
2024-05-18,495,999.16,24.8
2024-05-19,488,1000.98,24.0
2024-05-20,550,1010.19,26.6
2024-05-21,608,1065.46,26.2
2024-05-22,557,1048.46,25.7
2024-05-23,517,1025.65,25.2
2024-05-24,521,1051.4,27.8
2024-05-25,489,1025.32,25.9
2024-05-26,530,992.97,25.9
2024-05-27,556,1075.69,26.9
2024-05-28,557,1020.93,30.2
2024-05-29,558,1060.92,24.2
2024-05-30,528,1018.5,28.6
2024-05-31,519,1001.1,23.4
2024-06-01,498,953.61,27.8
2024-06-02,546,1023.31,30.6
2024-06-03,577,1007.22,28.6
2024-06-04,535,1045.18,28.0
2024-06-05,522,1051.12,26.7
2024-06-06,539,1003.48,28.0
2024-06-07,497,1005.75,27.6
2024-06-08,530,999.87,26.6
2024-06-09,515,993.29,27.7
2024-06-10,568,1060.16,28.8
2024-06-11,548,1027.84,26.9
2024-06-12,536,1065.09,27.0
2024-06-13,536,1009.54,26.0
2024-06-14,487,1017.18,29.6
2024-06-15,481,991.04,29.9
2024-06-16,508,1024.69,29.4
2024-06-17,543,1014.62,31.0
2024-06-18,510,1004.76,29.3
2024-06-19,536,1018.71,30.0
2024-06-20,492,974.3,29.9
2024-06-21,507,1020.75,29.1
2024-06-22,448,985.06,28.3
2024-06-23,495,1011.84,33.9
2024-06-24,497,1036.62,28.6
2024-06-25,517,1046.43,28.2
2024-06-26,521,1003.23,30.5
2024-06-27,491,1003.93,30.2
2024-06-28,475,969.41,26.9
2024-06-29,481,989.18,32.0
2024-06-30,506,988.61,29.6
2024-07-01,502,1041.7,27.6
2024-07-02,537,1031.29,32.2
2024-07-03,522,1007.75,31.1
2024-07-04,494,1026.24,27.4
2024-07-05,482,934.93,33.5
2024-07-06,482,938.85,31.3
2024-07-07,531,1038.5,30.0
2024-07-08,512,1008.71,33.2
2024-07-09,512,1013.46,30.3
2024-07-10,489,960.24,29.9
2024-07-11,461,976.02,28.7
2024-07-12,443,1015.89,31.2
2024-07-13,453,992.4,30.9
2024-07-14,486,995.84,30.0
2024-07-15,512,996.22,28.4
2024-07-16,511,996.74,30.2
2024-07-17,482,935.97,29.8
2024-07-18,489,999.84,27.2
2024-07-19,472,1004.34,26.9
2024-07-20,459,936.01,31.0
2024-07-21,469,964.86,24.6
2024-07-22,509,976.46,30.2
2024-07-23,506,979.47,28.8
2024-07-24,462,978.54,32.3
2024-07-25,465,926.89,28.6
2024-07-26,456,988.96,30.9
2024-07-27,439,982.25,28.7
2024-07-28,477,979.92,29.7
2024-07-29,466,917.58,30.9
2024-07-30,521,987.69,28.4
2024-07-31,504,1033.22,31.3
2024-08-01,455,903.55,27.2
2024-08-02,452,962.51,29.7
2024-08-03,406,914.1,30.9
2024-08-04,447,988.31,30.3
2024-08-05,481,971.72,32.7
2024-08-06,471,992.7,27.3
2024-08-07,489,1007.54,25.9
2024-08-08,489,1039.31,26.6
2024-08-09,418,945.73,29.8
2024-08-10,428,966.2,29.4
2024-08-11,466,942.47,28.5
2024-08-12,510,1035.76,25.9
2024-08-13,463,958.79,29.6
2024-08-14,475,970.98,25.5
2024-08-15,481,988.04,30.2
2024-08-16,404,903.33,33.4
2024-08-17,415,954.72,28.3
2024-08-18,449,993.59,28.6
2024-08-19,466,986.92,26.4
2024-08-20,494,956.68,23.6
2024-08-21,470,978.9,25.9
2024-08-22,411,965.15,24.8
2024-08-23,438,915.85,23.9
2024-08-24,423,926.93,30.1
2024-08-25,475,1006.91,27.1
2024-08-26,460,982.75,27.1
2024-08-27,464,988.7,25.6
2024-08-28,471,1029.09,25.7
2024-08-29,452,982.91,27.8
2024-08-30,433,976.25,25.7
2024-08-31,399,1007.17,26.7
2024-09-01,458,969.45,25.0
2024-09-02,448,948.85,24.6
2024-09-03,476,996.29,22.3
2024-09-04,432,970.17,21.0
2024-09-05,443,952.63,24.3
2024-09-06,407,918.39,24.7
2024-09-07,402,998.95,21.9
2024-09-08,458,982.97,24.2
2024-09-09,468,962.49,24.2
2024-09-10,457,997.1,19.6
2024-09-11,481,985.87,21.9
2024-09-12,424,948.08,24.4
2024-09-13,419,965.46,24.1
2024-09-14,428,924.5,20.9
2024-09-15,431,967.42,23.3
2024-09-16,470,1029.82,24.8
2024-09-17,457,985.85,24.2
2024-09-18,445,957.59,22.2
2024-09-19,455,960.32,21.3
2024-09-20,398,928.54,20.8
2024-09-21,378,920.45,22.8
2024-09-22,470,972.55,22.0
2024-09-23,506,1026.51,22.7
2024-09-24,458,931.47,21.5
2024-09-25,416,971.15,22.7
2024-09-26,424,944.91,21.0
2024-09-27,411,956.02,22.2
2024-09-28,417,922.03,22.2
2024-09-29,420,985.22,18.6
2024-09-30,470,1013.14,16.4
2024-10-01,474,1008.39,22.9
2024-10-02,424,916.53,20.1
2024-10-03,442,985.93,16.0
2024-10-04,453,981.92,17.8
2024-10-05,424,914.27,20.5
2024-10-06,434,959.79,18.2
2024-10-07,457,983.31,17.6
2024-10-08,476,999.5,21.2
2024-10-09,420,956.43,16.1
2024-10-10,433,967.08,16.4
2024-10-11,409,982.24,18.2
2024-10-12,455,1003.65,18.3
2024-10-13,438,891.12,18.3
2024-10-14,491,986.66,19.0
2024-10-15,446,963.48,17.3
2024-10-16,463,934.0,17.7
2024-10-17,437,964.55,16.0
2024-10-18,402,972.42,16.5
2024-10-19,426,928.44,16.3
2024-10-20,465,987.41,16.4
2024-10-21,457,951.3,17.3
2024-10-22,438,946.0,16.6
2024-10-23,455,1009.93,15.4
2024-10-24,417,936.64,13.5
2024-10-25,414,959.96,15.0
2024-10-26,424,907.62,14.7
2024-10-27,415,995.56,14.9
2024-10-28,437,977.27,18.7
2024-10-29,480,983.44,13.1
2024-10-30,449,983.79,14.8
2024-10-31,391,899.35,15.9
2024-11-01,438,992.36,13.7
2024-11-02,434,952.3,18.0
2024-11-03,436,956.5,12.4
2024-11-04,446,955.31,13.6
2024-11-05,490,979.48,11.2
2024-11-06,468,998.17,11.9
2024-11-07,484,996.8,12.9
2024-11-08,435,977.29,13.9
2024-11-09,440,963.78,12.7
2024-11-10,451,983.43,14.4
2024-11-11,488,982.33,11.5
2024-11-12,490,1049.74,10.9
2024-11-13,489,954.2,16.8
2024-11-14,436,993.12,12.0
2024-11-15,425,989.2,9.6
2024-11-16,430,936.7,9.5
2024-11-17,473,1039.53,8.8
2024-11-18,506,1028.49,12.4
2024-11-19,476,1009.88,9.6
2024-11-20,464,979.1,10.5
2024-11-21,456,968.17,9.9
2024-11-22,433,954.56,11.4
2024-11-23,461,986.36,8.0
2024-11-24,423,988.83,7.4
2024-11-25,469,985.93,9.9
2024-11-26,476,962.81,10.5
2024-11-27,436,982.21,9.8
2024-11-28,439,986.43,7.4
2024-11-29,427,972.57,10.2
2024-11-30,446,986.24,7.3
2024-12-01,490,987.23,7.6
2024-12-02,486,968.38,6.6
2024-12-03,478,965.1,11.0
2024-12-04,482,948.31,9.5
2024-12-05,482,995.12,9.3
2024-12-06,433,957.71,10.5
2024-12-07,440,953.0,13.5
2024-12-08,486,917.71,4.4
2024-12-09,493,964.62,6.2
2024-12-10,514,1036.42,6.3
2024-12-11,490,977.38,5.8
2024-12-12,482,998.21,5.2
2024-12-13,438,928.03,6.7
2024-12-14,462,1013.17,4.8
2024-12-15,479,983.8,7.8
2024-12-16,482,996.45,7.1
2024-12-17,481,1046.74,7.9
2024-12-18,509,1043.31,7.9
2024-12-19,470,974.34,8.0
2024-12-20,445,952.17,6.0
2024-12-21,468,972.66,10.9
2024-12-22,511,1019.35,7.1
2024-12-23,470,979.37,2.8
2024-12-24,490,984.12,4.5
2024-12-25,488,1029.48,2.9
2024-12-26,510,1003.14,6.4
2024-12-27,476,1043.09,6.1
2024-12-28,491,996.87,5.3
2024-12-29,477,1030.83,10.2
2024-12-30,498,1007.73,7.3
